@relation 'base6-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-20'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute hillclimb numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
745,11.927103,1,1,0,1,FALSE
789,14.4979,1,1,0,1,FALSE
766,37.998466,1,1,0,1,FALSE
749,35.327553,1,1,0,1,FALSE
701,11.679016,1,1,0,1,FALSE
765,12.842556,1,1,0,1,FALSE
722,32.746925,1,1,0,1,FALSE
717,34.420082,2,1,0,1,FALSE
718,42.423859,2,1,0,1,FALSE
717,34.250458,2,1,0,1,FALSE
743,12.332468,2,1,0,1,FALSE
776,36.482178,2,1,0,1,FALSE
742,13.587172,2,1,0,1,FALSE
739,12.933807,2,1,0,1,FALSE
767,35.735878,2,1,0,1,FALSE
774,14.158791,2,1,0,1,FALSE
742,35.431709,2,1,0,1,FALSE
796,14.172758,2,1,0,1,FALSE
758,34.809822,2,1,0,1,FALSE
733,35.650162,2,1,0,1,FALSE
732,34.532196,2,1,0,1,FALSE
775,38.68692,2,1,0,1,FALSE
766,36.267834,2,1,0,1,FALSE
760,36.235104,2,1,0,1,FALSE
727,34.26038,2,1,0,1,FALSE
757,37.211357,2,1,0,1,FALSE
769,35.761757,2,1,0,1,FALSE
770,35.495628,1,1,1,0,FALSE
771,12.730398,1,1,1,0,FALSE
737,11.943758,1,1,1,0,FALSE
772,36.418762,1,1,1,0,FALSE
757,34.298576,1,1,1,0,FALSE
762,12.931728,1,1,1,0,FALSE
788,36.418182,1,1,1,0,FALSE
751,13.468473,1,1,1,0,FALSE
765,35.552078,1,1,1,0,FALSE
746,12.496048,1,1,1,0,FALSE
760,37.104012,1,1,1,0,FALSE
731,33.724613,1,1,1,0,FALSE
765,11.523001,1,1,1,0,FALSE
747,9.459486,1,1,1,0,FALSE
774,36.463535,1,1,1,0,FALSE
778,14.39119,1,1,1,0,FALSE
762,36.064941,1,1,1,0,FALSE
724,35.035461,1,1,1,0,FALSE
780,13.955799,1,1,1,0,FALSE
766,38.685673,1,1,1,0,FALSE
743,11.194352,2,1,0,0,FALSE
718,37.861103,2,1,0,0,FALSE
736,11.644867,2,1,0,0,FALSE
768,13.090545,2,1,0,0,FALSE
737,35.623627,2,1,0,0,FALSE
747,34.474506,2,1,0,0,FALSE
770,12.72125,2,1,0,0,FALSE
724,12.355022,2,1,0,0,FALSE
733,35.435432,2,1,0,0,FALSE
747,13.259262,2,1,0,0,FALSE
775,13.450171,2,1,0,0,TRUE
747,34.39901,2,1,0,0,FALSE
763,12.861486,2,1,0,0,FALSE
751,34.594341,2,1,0,0,FALSE
740,13.0637,2,1,0,0,FALSE
761,11.138573,2,1,0,0,FALSE
753,35.982193,2,1,0,0,FALSE
766,13.342762,2,1,0,0,FALSE
756,11.687334,2,1,0,0,FALSE
784,12.876341,2,1,0,0,FALSE
736,12.230412,4,1,0,0,FALSE
729,34.855247,4,1,0,0,FALSE
777,13.339231,4,1,0,0,FALSE
747,13.049179,4,1,0,0,FALSE
739,12.378847,4,1,0,0,FALSE
743,12.909727,4,1,0,0,FALSE
750,13.1131,4,1,0,0,FALSE
748,11.163507,4,1,0,0,FALSE
736,38.722832,4,1,0,0,FALSE
747,34.314999,4,1,0,0,FALSE
760,12.793098,4,1,0,0,FALSE
749,10.918562,4,1,0,0,FALSE
760,13.027891,4,1,0,0,FALSE
722,34.346439,4,1,0,0,FALSE
744,12.276646,4,1,0,0,TRUE
749,12.64731,4,1,0,0,FALSE
781,36.433556,4,1,0,0,FALSE
736,12.114817,4,1,0,0,FALSE
757,12.761446,4,1,0,0,FALSE
729,11.900093,4,1,0,0,FALSE
808,37.931644,1,1,1,0,FALSE
736,34.300556,1,1,1,0,FALSE
737,12.20137,1,1,1,0,FALSE
774,13.438606,1,1,1,0,TRUE
773,35.24839,1,1,1,0,FALSE
799,38.043827,1,1,1,0,FALSE
800,14.467272,1,1,1,0,FALSE
777,37.221817,1,1,1,0,FALSE
754,33.909103,1,1,1,0,FALSE
749,12.47662,1,1,1,0,FALSE
736,34.982056,1,1,1,0,FALSE
773,12.799929,1,1,1,0,FALSE
748,12.018175,1,1,1,0,FALSE
757,12.110592,1,1,1,0,FALSE
750,35.528194,1,1,1,0,FALSE
778,35.897114,1,1,1,0,FALSE
786,12.890079,1,1,1,0,FALSE
776,37.133385,1,1,1,0,FALSE
788,37.897072,1,1,1,0,FALSE
763,35.315655,1,1,1,0,FALSE
744,36.875282,2,1,0,1,FALSE
778,36.673935,2,1,0,1,FALSE
767,14.034162,2,1,0,1,FALSE
769,11.919905,2,1,0,1,FALSE
762,12.905762,2,1,0,1,FALSE
790,13.297757,2,1,0,1,FALSE
771,12.909424,2,1,0,1,FALSE
762,13.483727,2,1,0,1,FALSE
761,34.823677,2,1,0,1,FALSE
814,38.472061,2,1,0,1,FALSE
764,13.067179,2,1,0,1,FALSE
788,36.045105,2,1,0,1,FALSE
745,34.608597,2,1,0,1,FALSE
773,35.784012,2,1,0,1,FALSE
769,34.741642,2,1,0,1,FALSE
794,10.398621,2,1,0,1,FALSE
816,12.294781,2,1,0,1,FALSE
784,13.635115,2,1,0,1,FALSE
788,12.111311,2,1,0,1,FALSE
779,13.053345,2,1,0,1,FALSE
769,34.866081,4,1,1,1,FALSE
788,12.315453,4,1,1,1,TRUE
770,13.133125,4,1,1,1,TRUE
761,12.892252,4,1,1,1,FALSE
763,35.701462,4,1,1,1,FALSE
794,12.271667,4,1,1,1,TRUE
769,33.948151,4,1,1,1,FALSE
804,36.516846,4,1,1,1,FALSE
768,36.94339,4,1,1,1,TRUE
766,13.210381,4,1,1,1,FALSE
809,12.31918,4,1,1,1,TRUE
797,36.929718,4,1,1,1,TRUE
745,35.603287,4,1,1,1,TRUE
804,12.990868,4,1,1,1,FALSE
747,36.927025,4,1,1,1,TRUE
756,10.273165,4,1,1,1,TRUE
758,35.237873,4,1,1,1,TRUE
805,15.143503,4,1,1,1,FALSE
759,13.276878,4,1,1,1,TRUE
725,34.108543,4,1,1,1,TRUE
793,37.205151,2,1,0,0,FALSE
762,35.443153,2,1,0,0,FALSE
782,12.894732,2,1,0,0,FALSE
793,35.77581,2,1,0,0,FALSE
761,37.20623,2,1,0,0,FALSE
778,35.705666,2,1,0,0,FALSE
756,14.643225,2,1,0,0,FALSE
736,36.129166,2,1,0,0,FALSE
772,35.329239,2,1,0,0,FALSE
788,36.066574,2,1,0,0,FALSE
772,35.351921,2,1,0,0,FALSE
779,14.083183,2,1,0,0,TRUE
807,38.230915,2,1,0,0,FALSE
747,34.925308,2,1,0,0,FALSE
813,14.356833,2,1,0,0,FALSE
765,14.029837,2,1,0,0,FALSE
798,37.791229,2,1,0,0,FALSE
775,35.660034,2,1,0,0,FALSE
758,13.200897,2,1,0,0,FALSE
758,35.666454,2,1,0,0,FALSE
748,13.100801,4,1,0,0,FALSE
788,38.206596,4,1,0,0,FALSE
763,35.146179,4,1,0,0,FALSE
771,38.858208,4,1,0,0,FALSE
794,35.945221,4,1,0,0,FALSE
774,34.65733,4,1,0,0,FALSE
778,35.907562,4,1,0,0,FALSE
763,13.530451,4,1,0,0,FALSE
