@relation 'base7-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-17,19-20-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
3026,28.852886,2,1,1,TRUE
3005,28.657677,2,0,0,FALSE
3075,29.685585,2,0,0,FALSE
3119,67.793724,2,0,0,FALSE
3049,29.902985,2,0,0,FALSE
3081,28.517658,2,0,0,FALSE
3004,29.188461,2,0,0,TRUE
3030,68.314713,2,0,0,FALSE
3036,29.936089,2,0,0,FALSE
2968,27.287315,2,0,0,FALSE
3006,28.407909,2,0,0,FALSE
3020,28.365314,2,0,0,FALSE
3047,28.1535,2,0,0,FALSE
3020,27.804394,2,0,0,FALSE
3088,29.573952,2,0,0,FALSE
3022,25.117462,2,0,0,FALSE
3116,30.672859,2,0,0,FALSE
3017,27.54771,2,0,0,FALSE
2995,29.364376,2,0,0,FALSE
3069,30.621017,2,0,0,FALSE
3029,64.829895,2,0,0,FALSE
3090,28.459297,1,0,0,TRUE
3118,29.507511,1,0,0,TRUE
3052,28.731373,1,0,0,FALSE
3003,29.171776,1,0,0,FALSE
3117,30.398392,1,0,0,FALSE
3055,28.8277,1,0,0,TRUE
2988,28.47052,1,0,0,FALSE
3012,28.82399,1,0,0,FALSE
3011,28.641171,1,0,0,FALSE
3001,28.514332,1,0,0,FALSE
3026,27.245823,1,0,0,FALSE
2994,25.918846,1,0,0,FALSE
3019,29.763371,1,0,0,FALSE
3096,67.738556,1,0,0,FALSE
3005,27.745457,1,0,0,FALSE
2995,65.453026,1,0,0,FALSE
3020,29.371038,1,0,0,FALSE
3011,28.816685,1,0,0,FALSE
3052,29.9814,1,0,0,FALSE
3045,29.037659,1,0,0,FALSE
3058,29.314114,4,1,1,TRUE
2940,63.412952,4,1,1,TRUE
3077,29.436378,4,1,1,TRUE
2970,27.783298,4,1,1,TRUE
3009,28.202942,4,1,1,TRUE
3044,29.108616,4,1,1,TRUE
3095,29.146877,4,1,1,TRUE
3055,66.621994,4,1,1,TRUE
3088,28.679008,4,1,1,TRUE
2975,27.286098,4,1,1,TRUE
3048,29.56971,4,1,1,TRUE
3048,29.090824,4,1,1,FALSE
3084,30.657829,4,1,1,TRUE
